,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
162,15,34,64,68,88,74,44,57,63,68,93,70,23,35,13,14,46,51,47,49,0,1,0,1,[]
163,13,34,63,62,88,75,39,59,72,64,93,69,23,37,15,17,43,54,43,51,0,1,0,1,[]
164,17,34,63,57,86,77,40,58,77,65,91,72,24,36,16,17,43,48,43,48,0,1,0,1,[]
165,8,36,76,61,89,72,43,57,83,66,92,71,23,42,13,18,45,45,33,42,0,1,0,1,[]
166,5,36,82,66,87,75,39,62,84,67,93,71,25,37,20,25,50,46,33,43,0,1,0,1,[]
167,4,38,73,62,82,82,43,59,79,64,90,69,34,37,22,31,50,48,33,43,0,1,0,1,[]
168,5,43,74,59,77,77,44,57,79,64,88,68,47,35,17,22,50,48,92,6,0,1,0,1,[]
169,6,42,74,60,82,80,40,58,13,92,87,66,52,35,12,19,50,43,81,14,0,1,0,1,[]
170,5,41,74,60,82,82,39,56,24,84,88,67,43,36,11,22,49,44,72,23,0,1,0,1,[]
171,5,37,81,66,79,76,42,57,36,76,91,71,31,37,6,26,50,44,63,33,0,1,0,1,[]
172,5,37,79,65,79,76,39,60,41,67,91,71,19,35,5,29,47,50,55,43,0,1,0,1,[]
173,7,29,68,61,6,96,47,55,39,54,89,69,11,34,6,29,47,50,48,48,0,1,0,1,[]
174,6,26,56,54,10,26,44,58,32,43,89,72,13,22,8,19,48,51,46,48,0,1,0,1,[]
175,12,17,56,59,14,14,40,57,26,30,84,82,22,13,16,9,47,51,52,53,0,1,0,1,[]
176,18,12,53,64,22,11,40,58,30,18,79,86,32,11,20,8,44,54,56,61,0,1,0,1,[]
177,27,11,54,62,34,12,39,62,39,15,77,88,39,14,20,8,51,52,55,56,0,1,0,1,[]
178,39,10,54,57,40,16,42,57,37,16,67,89,39,17,20,8,50,48,53,50,0,1,0,1,[]
179,47,8,53,58,46,10,42,52,45,9,59,91,39,17,20,8,48,51,54,44,0,1,0,1,[]
180,51,9,57,68,49,11,41,57,51,10,57,90,39,17,20,8,46,52,49,51,0,1,0,1,[]
181,58,8,48,59,49,11,39,58,48,8,59,85,39,17,20,8,42,54,43,54,0,2,0,1,[]
182,58,8,46,64,49,11,40,59,48,8,60,84,39,17,94,4,45,47,52,51,0,2,0,1,[]
183,4,93,47,65,14,95,28,59,4,95,61,84,39,17,77,5,49,53,60,59,0,2,0,1,[]
184,4,91,49,65,26,94,29,60,17,89,60,85,92,11,65,10,51,62,55,66,0,2,0,1,[]
185,11,83,44,68,38,93,29,59,29,82,59,82,86,22,54,9,55,63,57,67,0,2,0,1,[]
186,15,71,2,96,50,91,34,59,40,72,69,80,80,33,53,8,52,53,53,55,0,2,0,1,[]
187,19,60,7,93,62,90,42,56,45,67,69,80,73,42,46,8,50,50,48,50,0,2,0,1,[]
188,24,48,22,86,73,89,38,59,47,64,94,6,70,41,37,13,42,54,40,54,0,2,0,1,[]
189,21,47,33,79,72,88,38,60,43,67,88,17,63,42,27,23,42,55,43,52,0,2,0,1,[]
190,19,49,42,69,66,78,39,58,40,56,88,29,53,49,30,36,44,55,42,54,0,2,0,1,[]
191,26,51,50,65,58,70,36,62,40,60,89,41,45,52,33,48,47,52,47,55,0,2,0,1,[]
192,30,57,52,62,51,64,36,62,43,58,89,54,55,54,34,43,49,51,48,56,0,2,0,1,[]
193,41,57,46,62,52,66,2,96,44,58,90,67,66,56,41,36,49,41,50,51,0,2,0,1,[]
194,52,56,55,63,58,63,39,58,49,55,88,75,77,53,37,19,51,31,57,41,0,2,0,1,[]
195,63,61,66,66,68,63,51,55,62,57,90,74,81,54,27,9,53,28,58,37,0,2,0,1,[]
196,67,69,64,69,69,79,52,60,74,62,90,61,77,48,21,11,54,30,58,37,0,2,0,1,[]
197,68,68,65,68,74,88,49,53,79,55,90,65,65,41,7,18,56,40,91,6,0,2,0,1,[]
198,72,67,73,63,83,87,50,54,76,62,92,63,53,41,10,25,53,46,85,11,0,2,0,1,[]
199,81,77,83,65,85,83,54,55,82,65,88,68,41,38,11,25,54,44,77,20,0,2,0,1,[]
200,87,74,82,66,87,77,55,58,81,66,93,59,33,39,9,27,49,47,68,30,0,2,0,1,[]
201,91,68,80,65,88,71,54,58,70,62,93,52,31,42,6,29,43,48,59,40,0,2,0,1,[]
202,89,60,68,61,88,71,52,55,56,57,94,52,26,50,5,29,45,51,59,49,0,3,0,1,[]
203,91,54,56,58,3,94,52,60,54,59,91,51,21,48,6,32,47,50,61,52,0,3,0,2,[]
204,88,58,46,53,5,84,47,55,46,54,91,52,17,45,9,35,50,46,51,45,0,3,0,2,[]
205,81,66,43,48,6,71,45,57,44,51,91,53,16,43,13,36,47,36,50,45,0,3,0,2,[]
206,75,77,40,50,7,59,41,57,35,49,92,53,21,43,24,37,46,34,50,47,0,3,0,2,[]
207,72,84,31,51,8,46,40,58,29,51,91,55,30,36,24,33,40,34,43,39,0,3,0,2,[]
208,78,88,31,51,8,46,42,68,21,46,92,58,41,33,24,33,44,45,43,46,0,3,0,2,[]
209,78,88,33,49,12,37,45,71,29,50,93,54,42,19,94,4,47,52,48,53,0,3,0,2,[]
210,68,80,42,53,22,38,39,65,37,48,93,54,44,15,78,5,51,51,54,52,0,3,0,2,[]
211,74,87,38,49,24,28,45,55,43,53,94,6,43,15,63,7,58,41,62,52,0,3,0,2,[]
212,84,83,34,42,20,20,43,51,36,48,90,18,42,15,49,10,58,41,64,58,0,3,0,2,[]
213,83,83,42,43,16,16,37,49,32,45,89,31,42,16,35,17,95,4,64,57,0,3,0,2,[]
214,76,73,45,48,17,23,37,49,32,45,89,45,95,4,30,20,88,14,94,4,0,3,0,2,[]
215,66,65,52,47,21,28,8,92,5,92,91,58,90,12,33,9,80,22,88,16,0,3,0,2,[]
216,63,59,53,46,19,26,20,86,14,80,92,62,81,23,30,8,71,30,78,25,0,3,0,2,[]
217,57,56,50,53,19,17,31,80,25,70,89,64,72,31,41,6,62,38,66,37,0,3,0,2,[]
218,66,65,51,64,18,16,39,70,31,58,89,70,62,35,41,6,55,43,56,46,0,3,0,2,[]
219,76,73,50,65,11,26,51,65,32,44,90,71,54,32,91,5,56,42,53,42,0,3,0,2,[]
220,85,79,55,61,16,34,47,54,34,39,82,66,60,36,76,6,55,44,59,48,0,3,0,2,[]
221,87,73,57,55,24,37,45,52,36,38,71,62,72,43,60,7,52,48,57,48,0,3,0,2,[]
222,79,75,57,54,36,40,48,55,45,43,64,53,67,43,49,7,51,49,54,49,0,3,0,2,[]
223,83,80,54,57,38,40,47,55,41,39,59,51,65,51,59,10,57,48,55,52,0,3,0,2,[]
224,85,79,58,55,47,48,53,57,47,47,64,57,59,58,63,21,53,52,57,55,0,3,0,2,[]
225,74,72,46,50,46,53,55,59,45,55,54,57,55,57,59,35,55,50,56,57,0,3,0,2,[]
226,63,69,36,58,39,58,55,59,42,59,47,53,48,56,47,41,50,54,47,54,0,3,0,2,[]
227,53,65,30,59,37,59,55,59,40,62,46,53,50,59,36,43,47,53,45,51,0,3,0,2,[]
228,45,65,29,59,35,59,55,59,37,62,41,54,47,57,34,47,41,53,39,51,0,3,0,3,[]
229,40,58,29,58,35,59,55,59,38,60,51,51,42,47,32,40,49,50,45,52,0,3,0,3,[]
230,45,58,32,50,29,52,55,59,43,56,64,50,49,47,25,26,51,47,51,47,0,3,0,3,[]
231,51,60,32,46,32,42,55,59,36,48,78,50,61,50,27,13,53,46,50,47,0,3,0,3,[]
232,54,61,33,38,26,32,4,96,35,38,89,48,73,53,38,10,55,46,47,41,0,3,0,3,[]
233,59,59,43,42,20,21,15,88,41,39,89,51,77,54,50,19,57,42,54,41,0,3,0,3,[]
234,52,52,40,37,24,11,23,78,41,35,89,65,83,56,57,25,56,43,59,42,0,3,0,3,[]
235,48,51,41,32,22,11,32,74,43,23,86,78,81,55,54,32,55,44,56,46,0,3,0,3,[]
236,47,48,41,32,18,22,44,79,43,24,83,82,77,49,54,32,55,46,55,47,0,3,0,3,[]
237,51,60,4,93,18,24,51,84,4,96,77,78,67,48,53,32,54,45,55,47,0,3,0,3,[]
238,58,72,15,84,2,96,49,82,16,89,78,74,67,48,53,33,56,42,59,44,0,3,0,3,[]
239,60,86,25,76,12,87,50,81,29,81,78,74,89,7,57,25,56,42,59,44,0,3,0,3,[]
240,60,92,35,67,22,79,47,73,40,72,91,11,78,13,48,21,95,4,88,6,0,3,0,3,[]
241,64,90,44,58,33,69,49,60,52,63,82,23,65,20,47,12,54,46,79,15,0,3,0,3,[]
