,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
196,41,44,41,43,41,91,43,55,45,56,44,8,56,67,45,79,51,56,50,56,0,2,0,2,[]
197,45,54,44,37,45,93,46,52,44,50,43,8,51,77,46,79,53,49,53,51,0,2,0,2,[]
198,46,50,47,36,44,94,47,50,48,50,28,11,44,79,40,77,55,45,58,45,0,2,0,2,[]
199,47,56,47,37,44,94,45,52,47,54,17,15,44,79,37,76,57,49,56,50,0,2,0,2,[]
200,49,55,49,51,2,96,48,56,49,57,17,15,54,76,50,78,56,49,55,47,0,2,0,2,[]
201,56,58,53,58,2,96,52,56,56,66,12,23,54,76,52,75,61,52,59,49,0,2,0,2,[]
202,47,53,56,61,49,66,47,57,57,58,7,29,50,65,49,68,52,49,54,52,0,2,0,2,['16:50 RNGXiaohu(万花通灵) 击杀了 LNGPlex(英勇投弹手)']
203,40,62,48,67,49,66,40,63,49,66,7,29,48,66,47,73,52,52,53,63,0,2,0,2,[]
204,39,63,40,67,49,66,39,62,39,62,49,66,46,68,46,70,49,58,51,65,0,2,0,2,[]
205,43,55,41,61,49,66,39,59,40,58,49,59,54,65,49,61,50,54,47,59,0,2,0,2,[]
206,46,54,47,56,49,66,42,53,44,53,54,57,58,68,57,61,53,54,51,56,0,2,0,2,[]
207,51,62,52,55,49,66,49,53,54,52,58,60,66,68,59,62,58,56,57,56,0,2,0,2,[]
208,59,62,56,56,49,66,56,56,55,57,65,56,66,61,63,60,60,51,61,57,0,2,0,2,[]
209,59,62,55,58,49,66,58,60,58,60,65,58,62,61,63,58,55,50,63,57,0,2,0,2,[]
210,67,60,53,49,7,93,61,59,62,58,66,53,67,54,65,56,53,46,68,55,0,2,0,2,[]
211,69,50,54,50,16,83,67,51,68,48,65,40,67,46,66,55,50,46,68,45,0,2,0,2,"['17:31 LNGAsura(惩戒之箭) 击杀了 RNGXiaohu(万花通灵)', '17:32 RNGUzi(探险家) 击杀了 LNGSofM(盲僧)']"
212,66,52,54,50,25,72,66,50,66,48,69,35,70,49,66,55,51,48,63,39,0,2,0,2,['17:38 LNGAsura(惩戒之箭) 击杀了 RNGKarsa(德玛西亚皇子)']
213,67,61,54,50,33,62,66,57,66,60,69,35,70,49,66,55,49,40,58,35,0,2,0,2,[]
214,70,68,54,50,38,52,68,67,66,68,95,4,70,49,66,55,51,35,58,35,0,2,0,2,[]
215,71,78,54,50,33,41,67,69,67,69,92,4,70,49,66,55,51,35,94,5,0,2,0,2,[]
216,72,88,54,50,35,39,69,68,66,69,80,7,70,49,66,55,90,6,83,12,0,2,0,2,[]
217,75,87,3,96,32,41,68,69,69,68,80,20,70,49,66,55,90,6,75,22,0,2,0,2,[]
218,79,86,7,85,40,51,70,68,72,75,87,31,70,49,95,4,48,48,68,33,0,2,0,2,['18:10 LNG 击杀了土龙']
219,81,89,17,77,36,50,71,78,72,75,89,44,84,9,82,6,51,35,59,42,0,2,0,2,[]
220,81,90,30,67,25,45,71,78,2,96,89,57,71,15,67,6,52,26,47,41,0,2,0,2,[]
221,2,96,45,64,23,39,2,96,3,95,93,69,61,25,53,7,49,34,43,34,0,2,0,2,[]
222,8,95,47,68,22,32,2,96,7,88,89,72,57,33,39,7,50,45,49,43,0,2,0,2,[]
223,11,95,45,66,27,38,7,89,17,78,83,83,69,40,32,7,50,47,50,51,0,2,0,2,[]
224,26,93,39,65,35,49,10,76,28,68,84,82,76,44,25,9,54,52,58,58,0,2,0,2,[]
225,41,91,29,57,41,57,10,64,40,56,78,75,76,45,24,8,62,58,61,62,0,2,0,2,[]
226,53,89,24,56,40,51,11,51,35,48,70,79,82,56,35,12,68,55,56,56,0,2,0,2,[]
227,58,93,23,54,45,51,10,38,40,43,61,84,80,54,44,15,61,52,54,51,0,2,0,2,[]
228,55,91,33,49,44,51,8,30,44,51,60,85,76,59,45,23,53,50,51,50,0,2,0,3,['18:58 RNG 击破了防御塔']
229,41,92,31,53,41,53,14,36,42,52,60,85,68,64,42,35,55,59,51,56,0,2,0,3,[]
230,35,81,37,63,40,61,18,44,39,65,61,83,59,59,48,35,57,71,54,58,0,2,0,3,[]
231,38,73,45,71,41,66,23,55,48,65,67,83,57,69,49,41,52,76,56,63,0,2,0,3,[]
232,46,73,46,74,46,72,34,61,48,75,71,84,57,74,53,54,56,77,56,74,0,2,0,3,[]
233,49,75,51,76,50,67,44,67,53,77,62,77,59,72,57,66,61,76,60,75,0,2,0,3,[]
234,46,72,45,70,42,66,43,67,44,69,61,75,60,60,52,54,58,66,57,65,0,2,0,3,[]
235,39,63,40,61,43,56,41,58,41,55,70,83,54,48,49,47,54,56,62,61,0,2,0,3,[]
236,46,53,43,47,42,47,44,50,46,49,73,88,50,40,55,40,57,50,62,61,0,2,0,3,[]
237,40,61,34,39,32,37,44,51,41,39,70,79,48,25,53,32,60,57,91,6,0,2,0,3,[]
238,40,73,31,27,22,28,37,57,41,32,69,68,43,24,55,32,67,51,81,14,0,2,0,3,[]
239,42,87,31,27,14,21,38,55,35,38,63,58,43,24,58,37,73,54,72,24,0,2,0,3,[]
240,50,91,4,93,12,22,37,56,35,38,51,54,41,27,54,41,71,52,63,33,0,2,0,3,[]
