,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
165,11,18,32,61,43,58,80,85,77,87,15,15,56,65,46,54,92,35,80,38,0,0,0,0,[]
166,14,20,42,68,42,52,80,85,70,80,16,12,57,69,53,53,91,46,78,49,0,0,0,0,[]
167,10,22,49,74,44,51,6,95,68,82,15,17,57,68,53,52,91,62,67,51,0,0,0,0,[]
168,13,19,46,72,44,53,16,94,64,76,16,15,56,67,49,51,89,71,60,61,0,0,0,0,[]
169,7,19,47,70,46,54,28,93,59,74,12,17,57,68,51,50,85,78,56,68,0,0,0,0,[]
170,13,15,44,69,43,54,41,92,66,77,16,18,54,65,49,54,83,80,55,64,0,0,0,0,[]
171,16,17,43,68,37,56,52,90,71,81,15,17,55,66,45,55,80,79,55,59,0,0,0,0,[]
172,20,13,46,67,36,49,65,91,74,89,20,13,63,76,54,58,74,77,57,71,0,0,0,0,[]
173,20,11,45,70,30,38,73,90,72,89,20,10,67,83,64,64,75,79,64,78,0,0,0,0,[]
174,21,11,53,66,26,29,73,92,71,90,25,8,70,79,66,56,78,87,69,81,0,0,0,0,['14:28 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGADD(ÌúîøÚ¤»ê)']
175,17,12,54,67,37,40,74,91,71,87,25,8,70,69,55,49,81,85,70,79,0,0,0,0,[]
176,21,10,49,57,47,49,76,91,73,88,25,8,61,60,54,49,80,83,71,78,0,0,0,0,[]
177,27,8,48,59,45,49,74,90,75,89,25,8,54,59,54,53,78,82,73,74,0,0,0,0,[]
178,28,8,52,64,49,59,76,87,73,86,25,8,56,64,54,51,76,79,68,67,0,0,0,0,[]
179,36,10,42,67,46,55,70,83,66,79,25,8,59,63,54,49,74,74,64,65,0,1,0,0,"['14:53 WE »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
180,38,9,52,66,44,54,76,87,71,82,25,8,71,63,51,49,72,70,69,66,0,1,0,0,[]
181,37,9,55,57,46,49,71,82,72,77,91,4,66,55,54,50,78,73,75,69,0,1,0,0,[]
182,3,96,59,60,52,55,71,82,71,78,79,5,61,52,54,48,82,80,82,79,0,1,0,0,[]
183,16,88,56,57,57,56,78,89,76,87,67,6,56,56,55,51,80,76,81,78,0,1,0,0,[]
